index	id	part	count	fr_scr_sum	fr_p_add	to_scr_sum	to_p_add	count_agg	fr_sum	to_sum
106	TA0003_T1543_Any	0.001558	 4	 1.881101	 0.921801	 1.002505	 0.737237	 38.0	 0.12906	 0.05152
107	TA0002_T1569_Any	0.001551	 3	 2.272354	 0.925921	 0.974246	 0.651605	 68.0	 0.74092	 0.52298
108	TA0001_T1078_003	0.001467	 1	 0.389525	 0.326144	 1.280676	 0.739287	 72.0	 0.2586	 0.70911
109	TA0042_T1585_None	0.001465	 1	 1.103692	 0.689618	 0.86683	 0.595823	 72.0	 0.74992	 0.44567
110	TA0006_T1056_Any	0.001419	 3	 2.488804	 0.931172	 0.680782	 0.500369	 197.0	 1.70339	 0.36168
111	TA0011_T1568_Any	0.001354	 4	 3.536625	 0.985435	 0.305029	 0.272633	 84.0	 1.76694	 0.03836
112	TA0009_T1557_None	0.001281	 1	 0.574479	 0.441548	 1.097304	 0.678201	 91.0	 0.40137	 0.48654
113	TA0002_T1053_003	0.001268	 1	 0.572966	 0.458453	 1.110617	 0.693472	 38.0	 0.32933	 0.40874
114	TA0008_T1550_Any	0.001251	 5	 2.88984	 0.959594	 1.228154	 0.734375	 156.0	 2.32395	 0.71654
115	TA0004_T1543_Any	0.001243	 5	 3.894572	 0.989204	 1.235014	 0.739609	 99.0	 3.01219	 0.40156
116	TA0003_T1053_Any	0.001227	 6	 3.500573	 0.984189	 0.56756	 0.452167	 97.0	 2.15352	 0.17611
117	TA0011_T1001_001	0.001187	 1	 0.589357	 0.458686	 1.95507	 0.935749	 21.0	 0.33204	 1.1422
118	TA0005_T1218_Any	0.001176	 3	 2.694739	 0.950954	 0.31292	 0.274517	 67.0	 2.2553	 0.08502
119	TA0003_T1078_Any	0.001158	 5	 5.140424	 0.998061	 2.283031	 0.920073	 284.0	 2.72742	 0.87584
120	TA0004_T1546_Any	0.001073	 5	 1.803077	 0.886728	 0.678238	 0.518976	 38.0	 0.90393	 0.0284
121	TA0007_T1087_Any	0.001	 5	 6.369507	 0.999415	 2.222545	 0.909411	 196.0	 5.10161	 1.4126
122	TA0004_T1053_Any	0.000814	 5	 3.728341	 0.988313	 1.025712	 0.671785	 164.0	 2.41508	 0.3537
123	TA0004_T1547_Any	0.000731	 7	 4.049679	 0.992378	 0.062514	 0.061194	 67.0	 3.05541	 0.04181
124	TA0005_T1027_Any	0.000561	 4	 3.571176	 0.991066	 0.176521	 0.164781	 36.0	 3.50881	 0.07879
